,player_id,last_season,current_club_id,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,agent_name,domestic_competition_id,goals,assists,minutes_played,yellow_cards,red_cards,total_appearance,market_value_usd
11263,11263,2021.0,2293.0,Turkey,Turkey,1998-05-11,Midfield,Defensive Midfield,Right,178.0,FutureBall,TR1,1,1,660.0,3,0,22,1107000.0
12072,12072,2019.0,29228.0,Belgium,Albania,1999-10-30,Attack,Attacking Midfield,Right,175.0,GloBall Group,BE1,0,0,57.0,0,0,5,166050.0
2082,2082,2019.0,405.0,England,Wales,1989-01-23,Defender,Centre-Back,Right,177.0,YMU Group,GB1,2,0,3556.0,10,1,44,996300.0
10064,10064,2021.0,3057.0,Zaire,DR Congo,1996-05-21,Defender,Centre-Back,Right,186.0,Christophe Henrotay,BE1,6,1,6265.0,13,0,80,3321000.0
12792,12792,2019.0,150.0,Spain,Spain,1997-08-19,Midfield,Central Midfield,Right,175.0,IS SPORTS AGENCY INTERSOCCER,ES1,0,0,58.0,0,0,1,332100.0
6491,6491,2019.0,2423.0,Brazil,Brazil,1991-01-22,Defender,Right-Back,Right,174.0,Eleven Soccer,PO1,2,18,11108.0,27,1,135,249690.0
7296,7296,2015.0,1533.0,Spain,Spain,1994-04-07,Attack,Attacking Midfield,Left,181.0,Alberto Asensi Suso,ES1,0,0,45.0,0,0,1,332100.0
12393,12393,2019.0,23611.0,Nigeria,Nigeria,1997-10-01,Attack,Centre-Forward,Right,192.0,,UKR1,1,0,347.0,1,0,13,221400.0
3769,3769,2017.0,29228.0,France,France,1990-05-27,Defender,Centre-Back,Right,187.0,turfu zone,BE1,2,1,6150.0,18,0,72,276750.0
4562,4562,2021.0,631.0,France,France,1994-10-27,Defender,Centre-Back,Right,,,GB1,14,9,18557.0,20,0,234,33210000.0
204,204,2016.0,458.0,Italy,Italy,1983-05-02,Attack,Attacking Midfield,Left,180.0,Football Now Limited,IT1,4,5,3477.0,16,1,66,221400.0
