,player_id,last_season,current_club_id,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,agent_name,domestic_competition_id,goals,assists,minutes_played,yellow_cards,red_cards,total_appearance,market_value_usd
11203,11203,2021.0,1090.0,Netherlands,Netherlands,1998-11-17,Defender,Centre-Back,Right,,GFM,NL1,3,1,1144.0,0,0,29,1107000.0
6546,6546,2021.0,1301.0,Brazil,Brazil,1993-08-23,Attack,Left Winger,Right,178.0,H SOCCER,PO1,2,1,,2,0,27,387450.0
2929,2929,2017.0,347.0,France,Martinique,1989-05-18,Defender,Centre-Back,Right,182.0,,FR1,0,2,3945.0,10,0,50,442800.0
11463,11463,2020.0,1426.0,Netherlands,Netherlands,2000-10-07,Defender,Centre-Back,Right,193.0,Loyalty Sports Agency,NL1,0,0,34.0,0,0,4,166050.0
1520,1520,2021.0,16704.0,UdSSR,Belarus,1987-08-26,Defender,Centre-Back,Right,192.0,,RU1,3,5,,34,0,205,553500.0
12770,12770,2019.0,173.0,,Denmark,2002-07-16,Defender,Centre-Back,,194.0,Nordic Sky,DK1,0,0,65.0,1,0,2,110700.0
9656,9656,2021.0,41274.0,Nigeria,Nigeria,1996-03-05,Attack,Centre-Forward,Right,190.0,Makoz Group,BE1,1,0,627.0,3,0,20,692490.0
8797,8797,2020.0,23611.0,France,France,1996-12-13,Attack,Left Winger,Right,175.0,FK Sport Management SRL,UKR1,7,6,3899.0,11,0,62,1107000.0
1388,1388,2015.0,511.0,Germany,Germany,1989-11-05,Defender,Centre-Back,Right,187.0,DC International Sports,SC1,2,1,5022.0,11,0,65,83640.0
5497,5497,2021.0,79.0,Germany,Germany,1995-03-02,Goalkeeper,,Both,190.0,SEG,L1,0,0,2026.0,0,0,23,553500.0
5698,5698,2014.0,2999.0,,Czech Republic,1993-11-13,Midfield,,,169.0,,SC1,0,0,6.0,0,0,1,221400.0
11406,11406,2018.0,79.0,Ghana,Ghana,1998-08-22,Midfield,Defensive Midfield,Right,178.0,M-Soccermanagement,L1,0,0,40.0,0,0,2,664200.0
13440,13440,2021.0,121.0,Russia,Russia,2002-01-01,Defender,Centre-Back,,183.0,,RU1,0,1,415.0,2,0,10,332100.0
7997,7997,2021.0,3368.0,Spain,Spain,1997-02-26,Defender,Left-Back,Left,174.0,AC Talent,ES1,0,3,825.0,1,0,18,885600.0
12481,12481,2021.0,714.0,Spain,Spain,1998-04-26,Defender,Right-Back,Both,175.0,InterStarDeporte,ES1,0,2,1826.0,8,0,24,3321000.0
5506,5506,2021.0,7775.0,France,Algeria,1994-09-08,Attack,Attacking Midfield,Right,178.0,ND SPORTS MANAGEMENT,TR1,15,11,8638.0,24,0,145,2103300.0
7710,7710,2021.0,511.0,Scotland,Scotland,1995-09-10,Defender,Right-Back,Right,180.0,Deadline Day Soccer Group,SC1,1,4,11468.0,21,0,138,387450.0
13037,13037,2021.0,511.0,Scotland,Scotland,2001-04-04,Goalkeeper,,Right,189.0,Superior Sports Management,SC1,0,0,270.0,0,0,3,110700.0
1788,1788,2018.0,126.0,Germany,Germany,1989-06-09,Attack,Right Winger,Right,178.0,SOM Sports,TR1,4,8,3232.0,2,0,53,83640.0
6191,6191,2015.0,1301.0,Mali,Mali,1992-10-26,Attack,Centre-Forward,Left,182.0,DC7,PO1,1,0,493.0,6,0,18,166050.0
13528,13528,2021.0,3709.0,Spain,Senegal,2002-02-04,Attack,Centre-Forward,,190.0,,ES1,0,0,75.0,0,0,2,28290.0
2331,2331,2018.0,11282.0,Netherlands,Netherlands,1987-01-30,Attack,Centre-Forward,Right,194.0,,TR1,7,0,2284.0,7,1,44,166050.0
2266,2266,2016.0,2921.0,Italy,Italy,1983-07-04,Midfield,Central Midfield,Right,180.0,,IT1,0,0,1063.0,7,0,16,83640.0
8587,8587,2018.0,29228.0,Yugoslavia (Republic),Serbia,1996-10-11,Attack,Centre-Forward,Right,189.0,,BE1,0,0,7.0,0,0,2,442800.0
9246,9246,2017.0,27.0,Germany,Croatia,1998-06-05,Attack,Attacking Midfield,Left,180.0,Talcon Management,L1,0,0,,0,0,1,138990.0
11837,11837,2021.0,180.0,Mali,Mali,1998-06-15,Attack,Left Winger,Right,177.0,12 MANagement,GB1,14,7,5102.0,26,1,103,12177000.0
11396,11396,2020.0,2999.0,Scotland,Scotland,2001-05-10,Attack,Centre-Forward,,190.0,StormSportsX,SC1,0,0,27.0,0,0,1,28290.0
10677,10677,2015.0,1083.0,Russia,Russia,1996-01-09,Midfield,Left Midfield,,168.0,,RU1,0,0,100.0,0,0,1,55350.0
33,33,2021.0,398.0,Spain,Spain,1982-08-31,Goalkeeper,,Right,188.0,Manuel García Quilón,IT1,0,1,19841.0,13,1,221,774900.0
8834,8834,2021.0,2441.0,Greece,Greece,1997-11-11,Defender,Centre-Back,Right,186.0,P&P Sport Management S.A.M.,GR1,2,1,7720.0,18,1,101,1328400.0
1955,1955,2014.0,1429.0,Brazil,Brazil,1991-08-16,Midfield,Defensive Midfield,Right,186.0,S&M11,IT1,1,1,705.0,2,1,14,221400.0
9771,9771,2016.0,1041.0,France,France,1996-06-07,Midfield,Right Midfield,Right,169.0,USFA Management,FR1,1,0,29.0,0,0,3,1107000.0
4730,4730,2016.0,749.0,Italy,Italy,1993-08-14,Defender,Right-Back,Right,184.0,P&P Sport Management S.A.M.,IT1,0,0,842.0,3,0,22,221400.0
3626,3626,2015.0,4102.0,Italy,Italy,1989-05-26,Defender,Centre-Back,Right,185.0,Starbridge Srl,IT1,0,0,850.0,5,0,10,110700.0
5294,5294,2019.0,1245.0,Netherlands,Netherlands,1994-07-02,Defender,Centre-Back,Right,195.0,Nakhli Mondial,BE1,4,1,6450.0,15,1,86,830250.0
10516,10516,2017.0,984.0,England,England,2000-03-11,Defender,Right-Back,Right,178.0,Wasserman,GB1,0,0,50.0,0,0,1,276750.0
6525,6525,2016.0,1075.0,Argentina,Argentina,1993-01-14,Attack,Left Winger,Right,183.0,PROFUNDO Sports Management,PO1,0,0,96.0,0,0,4,276750.0
7782,7782,2019.0,468.0,Netherlands,Morocco,1994-07-01,Attack,Left Winger,Right,178.0,YSI Football Developers,NL1,10,8,4483.0,9,0,71,1107000.0
11680,11680,2018.0,132.0,Netherlands,Netherlands,1999-03-04,Midfield,Central Midfield,Right,180.0,,NL1,0,0,226.0,0,0,6,55350.0
7445,7445,2019.0,60.0,"Korea, South","Korea, South",1994-06-30,Attack,Right Winger,Left,173.0,Apertura Sports GmbH,L1,16,4,4264.0,7,0,98,1771200.0
572,572,2018.0,605.0,Germany,Albania,1986-06-09,Defender,Centre-Back,Left,189.0,ROOF,GR1,0,0,7322.0,11,0,87,221400.0
615,615,2014.0,289.0,United States,United States,1989-11-06,Attack,Centre-Forward,Right,185.0,YMU Group,GB1,1,0,484.0,1,0,13,553500.0
4852,4852,2017.0,3325.0,Portugal,Portugal,1988-08-31,Midfield,Central Midfield,Right,174.0,Bruno Carvalho,PO1,15,12,7513.0,17,1,96,664200.0
9227,9227,2015.0,2439.0,Russia,Russia,1995-11-02,Defender,Centre-Back,Left,187.0,Special1Agency,RU1,0,0,,1,0,7,442800.0
2836,2836,2019.0,873.0,England,England,1993-03-31,Attack,Centre-Forward,Right,189.0,ICM Stellar Sports,GB1,15,6,4949.0,10,0,81,885600.0
3334,3334,2021.0,3205.0,Greece,Greece,1991-10-16,Defender,Centre-Back,Left,183.0,Prosport International,TR1,6,0,16105.0,27,0,191,526440.0
6520,6520,2021.0,60.0,Austria,Austria,1996-07-11,Defender,Centre-Back,Right,189.0,GRASS IS GREEN,L1,10,1,10389.0,12,0,129,18819000.0
9790,9790,2019.0,3725.0,Senegal,Senegal,1992-05-19,Attack,Centre-Forward,Right,187.0,Aleksandr Perepechko,RU1,23,3,4549.0,11,0,112,553500.0
4509,4509,2021.0,126.0,CSSR,Slovakia,1991-11-22,Midfield,Central Midfield,Right,187.0,Shahar Greenberg Sports & Law,TR1,15,4,6024.0,15,0,94,913890.0
6803,6803,2021.0,370.0,United States,United States,1991-04-04,Attack,Centre-Forward,Right,188.0,PROSPORT Management,SC1,15,4,3513.0,1,0,41,885600.0
4522,4522,2016.0,2293.0,Turkey,Turkey,1992-09-29,Defender,Left-Back,Left,176.0,,TR1,0,0,9.0,0,0,1,221400.0
3635,3635,2019.0,19789.0,Germany,Germany,1994-01-25,Defender,Centre-Back,Right,185.0,Buğra Coşkun,TR1,7,3,10853.0,37,0,145,996300.0
10037,10037,2021.0,294.0,Germany,Brazil,1991-05-30,Attack,Centre-Forward,Left,185.0,Marcio Bittencourt Sports,PO1,35,4,,22,0,141,2214000.0
3078,3078,2021.0,43.0,Northern Ireland,Northern Ireland,1988-09-04,Defender,Right-Back,Right,180.0,Volenti,SC1,3,9,8764.0,18,0,106,442800.0
9230,9230,2014.0,21957.0,Greece,Albania,1998-06-10,Defender,Centre-Back,Right,192.0,Zafi Agent,GR1,0,0,55.0,0,0,1,221400.0
8621,8621,2021.0,306.0,Belgium,Morocco,1995-05-15,Midfield,Central Midfield,Right,179.0,Vladimir Petrovic,NL1,5,6,5393.0,3,0,83,774900.0
13261,13261,2021.0,1245.0,,Cote d'Ivoire,2000-10-27,Attack,Right Winger,Left,174.0,KP Sport Marketing GmbH,BE1,2,6,,7,0,68,1107000.0
12890,12890,2018.0,1426.0,Netherlands,Netherlands,2001-11-17,Attack,Attacking Midfield,Right,173.0,Juzzt Football,NL1,1,0,,0,0,3,940950.0
3761,3761,2021.0,244.0,France,DR Congo,1991-04-11,Attack,Centre-Forward,Right,182.0,ICM Stellar Sports,FR1,64,9,8766.0,22,0,144,8856000.0
2476,2476,2020.0,130.0,Italy,Italy,1988-06-05,Midfield,Defensive Midfield,Right,170.0,AC Sport Consulting,IT1,0,6,2466.0,10,0,39,553500.0
488,488,2019.0,157.0,Sweden,Sweden,1986-12-13,Defender,Right-Back,Right,189.0,HCM Sports Management,BE1,13,32,17105.0,26,0,210,442800.0
2394,2394,2020.0,41201.0,UdSSR,Russia,1990-08-18,Defender,Right-Back,Right,188.0,,RU1,1,1,1872.0,6,0,25,276750.0
566,566,2017.0,2288.0,Sweden,Sweden,1988-05-17,Defender,Left-Back,Left,178.0,HCM Sports Management,GB1,3,3,6610.0,13,0,80,664200.0
12931,12931,2021.0,553.0,Greece,Greece,1994-12-21,Attack,Centre-Forward,Right,182.0,Target Sport,GR1,1,0,850.0,3,0,27,332100.0
2214,2214,2019.0,317.0,Slovenia,Slovenia,1992-08-21,Attack,Centre-Forward,Left,186.0,SEG,NL1,16,2,3451.0,7,0,44,608850.0
5939,5939,2021.0,23826.0,Germany,Germany,1997-02-23,Defender,Right-Back,Right,185.0,CN Sports,L1,4,13,11038.0,23,1,172,13284000.0
2964,2964,2021.0,380.0,Italy,Italy,1991-05-08,Goalkeeper,,Left,185.0,M.A.R.A.T. Football Management,IT1,0,0,15074.0,4,0,168,1549800.0
3123,3123,2016.0,2999.0,Jugoslawien (SFR),Kosovo,1991-04-30,Attack,Attacking Midfield,Both,183.0,Fiducia Management ,SC1,3,6,3108.0,8,0,51,276750.0
450,450,2021.0,16.0,Belgium,Belgium,1989-01-12,Midfield,Defensive Midfield,Right,186.0,Nomi Sports,L1,27,15,20254.0,40,1,251,4428000.0
10509,10509,2021.0,2861.0,England,England,2000-07-09,Defender,Centre-Back,Left,195.0,Jordan Wise,BE1,2,0,2230.0,2,0,31,553500.0
12043,12043,2021.0,10.0,Nigeria,United States,2002-01-22,Defender,Left-Back,Left,170.0,Wasserman,L1,0,0,427.0,0,0,10,4428000.0
5790,5790,2018.0,39722.0,Turkey,Turkey,1989-03-12,Defender,Left-Back,Left,178.0,,TR1,1,0,,2,0,9,55350.0
12075,12075,2021.0,610.0,Netherlands,Netherlands,2003-06-13,Attack,Left Winger,Right,168.0,AYMO Football Management,NL1,1,0,15.0,0,0,1,3874500.0
7177,7177,2019.0,1090.0,United States,Norway,1991-11-06,Attack,Centre-Forward,Right,195.0,Key United,NL1,34,8,6047.0,8,0,103,553500.0
2002,2002,2021.0,6912.0,Portugal,Portugal,1996-12-27,Defender,Centre-Back,Right,192.0,Footunited,PO1,4,0,3179.0,12,0,40,996300.0
3783,3783,2021.0,667.0,Belgium,Belgium,1992-02-26,Goalkeeper,,Right,188.0,pro soccer management,FR1,0,1,18675.0,3,0,208,8856000.0
10746,10746,2021.0,347.0,Mali,Mali,1998-01-21,Defender,Centre-Back,Both,186.0,ROGON,FR1,0,0,4055.0,8,1,61,2214000.0
13455,13455,2021.0,2759.0,Scotland,Scotland,2003-03-17,Defender,Right-Back,Right,0.0,,SC1,0,0,180.0,0,0,2,55350.0
2555,2555,2021.0,114.0,France,DR Congo,1990-07-21,Defender,Left-Back,Left,178.0,,TR1,1,16,15781.0,37,1,186,166050.0
380,380,2014.0,3725.0,Brazil,Brazil,1984-08-20,Attack,Centre-Forward,Right,180.0,TSA,RU1,5,0,2312.0,2,0,31,138990.0
5941,5941,2021.0,317.0,Netherlands,Netherlands,1993-09-23,Defender,Centre-Back,Right,190.0,Louis Laros,NL1,12,10,14162.0,35,1,171,1439100.0
13126,13126,2020.0,4603.0,,Greece,2001-01-29,Attack,Attacking Midfield,,182.0,Rush & Guide,GR1,0,0,9.0,0,0,1,55350.0
7059,7059,2015.0,1025.0,Slovenia,Slovenia,1996-02-01,Midfield,Central Midfield,Right,178.0,FSB – Spielerberatung GmbH,IT1,0,0,91.0,0,0,2,332100.0
2997,2997,2021.0,11282.0,Jugoslawien (SFR),Slovenia,1990-06-12,Defender,Centre-Back,Right,190.0,NESTA SPORT GROUP,TR1,8,2,13185.0,14,1,155,1107000.0
426,426,2018.0,441.0,Greece,Greece,1987-05-20,Defender,Right-Back,Right,173.0,Lehmanns Management,GR1,0,6,11812.0,30,0,140,110700.0
11366,11366,2021.0,5.0,Brazil,Brazil,1991-05-13,Attack,Right Winger,Left,174.0,GG11 s.r.l.,IT1,15,8,5047.0,8,0,69,6642000.0
2448,2448,2021.0,533.0,Germany,Germany,1991-09-23,Defender,Centre-Back,Right,194.0,ROOF,L1,1,9,21566.0,56,0,260,4428000.0
12502,12502,2021.0,410.0,France,France,2002-02-21,Defender,Right-Back,Right,181.0,ICM Stellar Sports,IT1,0,0,1694.0,7,0,41,6642000.0
5253,5253,2021.0,610.0,France,Cote d'Ivoire,1994-06-22,Attack,Centre-Forward,Right,190.0,management 360,NL1,142,52,22471.0,26,1,285,38745000.0
504,504,2019.0,12.0,Jugoslawien (SFR),Croatia,1988-01-05,Attack,Centre-Forward,Both,187.0,LIAN Sports Group,IT1,72,18,14217.0,30,1,238,1107000.0
13441,13441,2021.0,1237.0,Ecuador,Ecuador,2001-11-02,Midfield,Central Midfield,Right,178.0,,GB1,2,3,1510.0,4,0,21,4981500.0
8405,8405,2017.0,370.0,Scotland,Scotland,1998-07-14,Defender,Left-Back,Left,181.0,,SC1,0,0,36.0,0,0,5,387450.0
1499,1499,2021.0,55686.0,Ukraine,Ukraine,1992-11-07,Defender,Right-Back,Right,180.0,,UKR1,0,1,1069.0,1,0,15,221400.0
1798,1798,2014.0,367.0,Spain,Spain,1986-03-11,Defender,Centre-Back,Left,184.0,,ES1,1,0,922.0,5,1,15,55350.0
9199,9199,2018.0,621.0,Spain,Spain,1998-01-06,Attack,Left Winger,Right,178.0,Acción Sport,ES1,0,0,49.0,0,0,3,1660500.0
2473,2473,2021.0,583.0,Germany,Germany,1993-09-20,Attack,Left Winger,Right,185.0,ROGON,FR1,29,37,13177.0,29,2,231,19926000.0
9675,9675,2021.0,5724.0,Sweden,Sweden,1999-01-01,Defender,Centre-Back,Right,196.0,HCM Sports Management,DK1,0,0,,1,0,1,387450.0
9867,9867,2021.0,3329.0,Portugal,Portugal,1999-01-05,Defender,Centre-Back,Right,185.0,Gestifute,PO1,1,1,3401.0,6,0,43,1107000.0
11043,11043,2021.0,24.0,Norway,Norway,1999-10-12,Attack,Right Winger,Right,184.0,Emefie Aneke Atta,L1,11,5,2544.0,4,0,65,8856000.0
1891,1891,2015.0,825.0,Zaire,DR Congo,1990-11-20,Midfield,Defensive Midfield,Right,171.0,Good Sportmanagement,TR1,1,1,2627.0,7,0,32,276750.0
10297,10297,2015.0,2990.0,Brazil,Brazil,1992-01-09,Defender,Centre-Back,Right,193.0,,PO1,0,0,412.0,2,0,6,83640.0
3824,3824,2016.0,31.0,England,England,1993-05-09,Defender,Right-Back,Right,,ICM Stellar Sports,GB1,0,3,3575.0,2,0,43,664200.0
4595,4595,2016.0,1132.0,England,Zimbabwe,1991-12-13,Defender,Right-Back,Right,188.0,,GB1,0,0,120.0,0,0,1,553500.0
3303,3303,2021.0,1075.0,Brazil,Brazil,1990-10-18,Midfield,Central Midfield,Right,187.0,Lipatin Sports,PO1,37,34,19003.0,75,3,267,2767500.0
601,601,2019.0,86.0,Germany,Germany,1988-01-15,Defender,Centre-Back,Right,191.0,ROOF,L1,1,2,10151.0,34,0,130,221400.0
9357,9357,2017.0,28643.0,Belgium,Belgium,1998-01-31,Defender,Centre-Back,Right,188.0,Quadrans,BE1,0,0,74.0,0,0,1,110700.0
13048,13048,2021.0,1519.0,England,Kosovo,2000-12-11,Midfield,Central Midfield,Left,182.0,Future Star Sports Management,SC1,0,0,386.0,2,0,6,138990.0
94,94,2021.0,1132.0,England,Scotland,1985-06-28,Defender,Right-Back,Right,180.0,,GB1,2,4,10513.0,42,0,125,332100.0
4612,4612,2014.0,41.0,Germany,Mozambique,1993-10-01,Defender,Left-Back,Left,174.0,Sports eXcellence Group,L1,0,0,677.0,0,0,9,166050.0
5635,5635,2021.0,1519.0,,Scotland,1996-07-09,Defender,Left-Back,Left,183.0,,SC1,1,13,14299.0,25,0,170,498150.0
3494,3494,2014.0,1533.0,Spain,Spain,1985-12-04,Attack,Attacking Midfield,Right,179.0,Pedro Bravo - Consulting,ES1,1,4,1872.0,4,0,33,110700.0
12660,12660,2021.0,235.0,Netherlands,Morocco,2001-01-03,Midfield,Central Midfield,Right,195.0,Louis Laros,NL1,1,1,1210.0,2,0,25,276750.0
9035,9035,2021.0,6418.0,Canada,Canada,1997-11-25,Defender,Centre-Back,Both,187.0,Axia Sports Management,GR1,2,1,2312.0,9,0,27,885600.0
9950,9950,2021.0,317.0,United States,Netherlands,2000-07-20,Defender,Centre-Back,Left,183.0,Soccer Vision ,NL1,2,4,7874.0,13,0,94,1660500.0
10487,10487,2021.0,12.0,Italy,Italy,1999-07-02,Attack,Right Winger,Left,190.0,Vigo Global Sport Services Srl,IT1,17,12,6552.0,33,1,101,36531000.0
8873,8873,2019.0,989.0,Denmark,Denmark,1996-06-11,Midfield,Central Midfield,Left,193.0,Wasserman,GB1,5,1,5625.0,18,0,80,17712000.0
4959,4959,2021.0,65.0,Germany,Germany,1996-01-01,Goalkeeper,,Right,187.0,fair-sport GmbH,L1,0,0,840.0,0,0,9,332100.0
6579,6579,2021.0,157.0,Cameroon,Cameroon,1990-11-23,Defender,Centre-Back,Right,190.0,World Sports Management Agency,BE1,6,3,9034.0,18,1,102,3874500.0
11270,11270,2021.0,114.0,France,France,1996-08-19,Defender,Right-Back,Right,175.0,Pini Zahavi,TR1,2,18,11718.0,28,0,141,6642000.0
9259,9259,2018.0,800.0,Italy,Italy,1997-06-20,Midfield,Defensive Midfield,Right,173.0,Gea World,IT1,1,0,,0,0,1,28290.0
2553,2553,2017.0,511.0,Bulgaria,Bulgaria,1989-07-20,Defender,Centre-Back,Right,186.0,,SC1,2,0,3054.0,6,0,43,55350.0
11690,11690,2021.0,173.0,Denmark,Denmark,1999-03-22,Goalkeeper,,Right,190.0,Boutique Transfers,DK1,0,0,5400.0,4,0,60,1660500.0
6255,6255,2021.0,49702.0,Russia,Russia,1994-09-20,Midfield,Left Midfield,Right,172.0,F&L,RU1,2,0,844.0,4,0,25,664200.0
1485,1485,2021.0,3725.0,UdSSR,Russia,1988-12-11,Goalkeeper,,Left,190.0,,RU1,0,1,8340.0,10,2,93,553500.0
5657,5657,2021.0,18.0,Switzerland,Switzerland,1996-09-30,Defender,Centre-Back,,189.0,IFM,L1,11,8,20007.0,23,1,236,19926000.0
4839,4839,2018.0,1091.0,Argentina,Argentina,1991-03-08,Goalkeeper,,Right,190.0,S-C&M,GR1,0,0,1890.0,2,0,21,830250.0
10725,10725,2021.0,610.0,Mexico,Mexico,1997-10-24,Midfield,Defensive Midfield,Right,187.0,PROMOFUT,NL1,9,3,7103.0,19,2,103,24354000.0
12580,12580,2021.0,2696.0,Russia,Russia,2003-04-01,Attack,Attacking Midfield,Both,172.0,Pavel Andreev,RU1,0,1,698.0,3,0,18,664200.0
10955,10955,2019.0,543.0,Portugal,Portugal,1998-10-12,Midfield,Central Midfield,Right,180.0,Gestifute,GB1,2,1,850.0,2,0,16,2767500.0
8386,8386,2021.0,543.0,England,Montenegro,1997-07-23,Goalkeeper,,Right,,Unique Sports Group,GB1,0,1,1260.0,0,0,14,1992600.0
11069,11069,2021.0,940.0,Spain,Spain,1999-02-03,Midfield,Central Midfield,Right,165.0,InterStarDeporte,ES1,6,0,7881.0,13,1,135,16605000.0
13209,13209,2021.0,653.0,Greece,Greece,1998-06-05,Defender,Left-Back,Left,176.0,ELITE SPORTS KSE LTD,GR1,0,0,2032.0,9,0,38,221400.0
547,547,2017.0,19771.0,Netherlands,Netherlands,1988-05-27,Attack,Centre-Forward,Both,180.0,PREMIER GLOBAL SPORTS,TR1,3,0,993.0,3,0,30,110700.0
9287,9287,2021.0,621.0,Spain,Spain,1997-01-30,Defender,Centre-Back,Right,186.0,LEADERBROCK,ES1,3,1,9662.0,34,0,117,9963000.0
5169,5169,2021.0,2503.0,England,Portugal,1993-02-26,Defender,Centre-Back,Right,190.0,,PO1,2,0,3258.0,6,0,45,774900.0
10061,10061,2018.0,1025.0,Hungary,Hungary,1995-06-17,Midfield,Defensive Midfield,Right,178.0,CMGroup,IT1,1,1,3900.0,9,0,57,2214000.0
11041,11041,2019.0,124.0,Bosnia-Herzegovina,Croatia,1996-10-10,Defender,Centre-Back,Right,194.0,Zeleni Centar Sport,SC1,4,1,4302.0,6,0,52,1107000.0
7539,7539,2018.0,7179.0,Colombia,Colombia,1995-03-09,Attack,Centre-Forward,Right,178.0,Gianluca De Franco,PO1,4,5,1821.0,7,1,38,6642000.0
4521,4521,2019.0,2553.0,Romania,Romania,1994-03-30,Goalkeeper,,Right,194.0,GOAL CLUB,SC1,0,0,2540.0,4,0,28,276750.0
8079,8079,2019.0,3336.0,Brazil,Brazil,1993-04-24,Attack,Left Winger,Both,178.0,Chignall Sports Agency,PO1,1,0,32.0,0,0,3,110700.0
8595,8595,2017.0,940.0,Spain,Spain,1996-03-14,Midfield,Central Midfield,Left,182.0,Promoesport,ES1,0,0,4.0,0,0,1,221400.0
12535,12535,2021.0,1465.0,Brazil,Brazil,1995-03-01,Attack,Centre-Forward,Right,187.0,7 Braga Sports,PO1,1,0,411.0,1,0,14,719550.0
12758,12758,2020.0,1426.0,Netherlands,Netherlands,2002-04-04,Attack,Left Winger,Right,184.0,Forza Sports Group,NL1,1,0,16.0,0,0,1,276750.0
10849,10849,2021.0,443.0,England,England,1998-10-14,Defender,Centre-Back,Left,197.0,Alpha sports Management Ltd.,DK1,0,1,1222.0,3,0,18,442800.0
12301,12301,2020.0,1160.0,France,France,1997-12-28,Midfield,Right Midfield,Right,181.0,CLK FOOT,FR1,0,0,,0,0,8,885600.0
3522,3522,2021.0,371.0,Scotland,Scotland,1993-06-14,Midfield,Central Midfield,Left,178.0,,SC1,55,58,25905.0,22,0,334,8856000.0
11447,11447,2021.0,5817.0,,Denmark,2000-04-28,Midfield,Central Midfield,Right,187.0,Elite Consulting,DK1,1,1,1970.0,9,0,34,553500.0
10898,10898,2019.0,987.0,Netherlands,Netherlands,1998-03-17,Attack,Left Winger,Both,175.0,,SC1,2,1,1607.0,1,0,36,332100.0
12051,12051,2021.0,653.0,Greece,Syria,1998-06-14,Defender,Right-Back,Right,175.0,Target Sport,GR1,0,2,3804.0,10,0,53,498150.0
4351,4351,2015.0,4482.0,Romania,Romania,1993-04-15,Attack,Attacking Midfield,,175.0,GAMMA SPORT,UKR1,10,6,3453.0,7,0,42,387450.0
4447,4447,2021.0,200.0,Germany,Germany,1995-09-20,Goalkeeper,,Right,193.0,IFM,NL1,0,0,2561.0,1,0,29,553500.0
12361,12361,2021.0,65.0,France,France,2000-02-21,Defender,Centre-Back,Right,185.0,Bernard Collignon,L1,0,1,279.0,3,0,9,332100.0
1197,1197,2021.0,317.0,Germany,Germany,1990-07-20,Goalkeeper,,Right,198.0,ROOF,NL1,0,0,11060.0,4,0,123,2214000.0
8345,8345,2021.0,60551.0,UdSSR,Ukraine,1990-04-12,Goalkeeper,,Right,187.0,Special1Agency,UKR1,0,1,3017.0,0,0,34,332100.0
1829,1829,2019.0,405.0,Egypt,Egypt,1987-09-09,Defender,Right-Back,Right,182.0,,GB1,5,11,,11,1,120,332100.0
5851,5851,2021.0,631.0,England,England,1995-04-25,Midfield,Central Midfield,Right,182.0,,GB1,23,15,9398.0,13,1,120,3321000.0
2208,2208,2018.0,19771.0,Turkey,Turkey,1990-01-03,Midfield,Defensive Midfield,Right,175.0,LifeFootball Sportmanagement,TR1,2,2,6422.0,20,0,103,83640.0
790,790,2019.0,3.0,Germany,Germany,1991-08-04,Attack,Right Winger,,179.0,DC International Sports,L1,10,6,4709.0,5,0,87,553500.0
3231,3231,2014.0,20698.0,Turkey,Turkey,1992-10-01,Defender,Right-Back,Right,170.0,,TR1,0,1,1266.0,2,0,16,332100.0
6395,6395,2021.0,29.0,Portugal,Portugal,1993-07-30,Midfield,Central Midfield,Right,188.0,Wasserman,GB1,12,15,15527.0,52,0,248,22140000.0
789,789,2021.0,2995.0,Portugal,Portugal,1987-04-01,Defender,Left-Back,Left,175.0,Footconect Fma,PO1,10,17,17042.0,46,1,208,332100.0
2851,2851,2019.0,3709.0,Argentina,Argentina,1990-03-27,Goalkeeper,,Right,182.0,AREA SPORT TEAM,ES1,0,0,3870.0,4,0,43,553500.0
10562,10562,2021.0,3725.0,Kazakhstan,Kazakhstan,1992-06-19,Defender,Right-Back,Right,181.0,FM Sports Agency,RU1,0,2,3629.0,8,0,52,996300.0
4516,4516,2019.0,3426.0,Georgia,Georgia,1993-02-14,Midfield,Defensive Midfield,Right,183.0,LLC FT COMPANY,DK1,2,1,5541.0,14,1,63,276750.0
11575,11575,2021.0,416.0,Italy,Italy,2000-07-03,Goalkeeper,,Right,190.0,,IT1,0,0,90.0,0,0,1,305040.0
822,822,2021.0,294.0,Morocco,Morocco,1989-05-24,Midfield,Central Midfield,Right,178.0,,PO1,4,15,8458.0,28,3,151,2767500.0
10140,10140,2021.0,1148.0,Denmark,Denmark,1999-01-07,Defender,Centre-Back,Left,193.0,People In Sport,GB1,1,1,1494.0,3,0,22,5535000.0
593,593,2014.0,265.0,Jugoslawien (SFR),Croatia,1985-03-18,Defender,Centre-Back,Right,191.0,Chapter One Sports,GR1,1,1,3203.0,11,0,36,332100.0
231,231,2017.0,150.0,Spain,Spain,1981-06-27,Attack,Centre-Forward,Right,169.0,Bahía Internacional,ES1,33,6,6668.0,7,0,86,110700.0
1588,1588,2014.0,3008.0,France,Cote d'Ivoire,1988-04-12,Attack,Centre-Forward,Right,183.0,FAME US Sport Agency,GB1,0,0,378.0,0,1,8,166050.0
10998,10998,2021.0,18303.0,Ukraine,Ukraine,2000-02-10,Defender,Centre-Back,Right,194.0,ProStar,UKR1,0,0,1218.0,4,0,17,332100.0
10343,10343,2021.0,61825.0,Ukraine,Ukraine,1994-01-17,Defender,Right-Back,Right,181.0,ICG 1983 est.,UKR1,0,0,605.0,2,0,9,276750.0
